PRT_ID,AREA,INT_SQFT,DATE_SALE,N_BEDROOM,N_BATHROOM,N_ROOM,SALE_COND,PARK_FACIL,DATE_BUILD,BUILDTYPE,UTILITY_AVAIL,STREET,MZZONE,QS_ROOMS,QS_BATHROOM,QS_BEDROOM,QS_OVERALL,REG_FEE,COMMIS,INF_PRICE,1+0.04,"POWER(Z,Y)",SALES_PRICE
P02696,Adyar,868,15-08-2011,1,1,3,Normal Sale,No,17-08-2001,Others,NoSewer ,Gravel,RL,2.3,2.1,2,2.11,325514,72336,13919820.55,1.04,1.539454056,9042050
P05950,Anna Nagar,1709,22-11-2009,1,1,4,Family,No,24-11-2003,Others,NoSewer ,Gravel,RH,4.8,3.2,4.3,4.2,452501,90500,21527052.7,1.04,1.665073507,12928590
P04978,Karapakkam,1226,23-05-2010,1,1,3,Normal Sale,No,30-05-1983,House,AllPub,Paved,A,4,3.7,4.7,4.19,154109,114339,7959131.417,1.04,1.601032219,4971250
P07194,Adyar,904,24-01-2009,1,1,3,Adj Land,No,3/2/1969,Commercial,ELO,No Access,RM,3.8,3.2,2.6,3.08,348042,23203,19317183.79,1.04,1.665073507,11601400
P01107,Chrompet,1198,21-12-2012,1,1,3,Normal Sale,No,30-12-1976,Others,AllPub,No Access,RH,3.9,3.4,4.4,3.85,255727,98991,12210919.97,1.04,1.480244285,8249260
P02442,Karapakkam,931,3/10/2011,1,1,3,Adj Land,No,7/10/1993,Commercial,AllPub,Paved,A,4,4.2,2.4,3.42,291669,166668,10690738.69,1.04,1.539454056,6944500
P05882,KK Nagar,2492,6/12/2009,4,2,6,Ab Normal,No,10/12/1993,Commercial,NoSewer ,Paved,RL,4.3,4.6,3.8,4.19,917550,224706,31179367.26,1.04,1.665073507,18725520
P02558,Karapakkam,851,11/9/2011,1,1,2,Partial,No,18-09-1982,House,AllPub,No Access,C,4,3.8,2.5,3.34,167896,39295,5499314.753,1.04,1.539454056,3572250
P04106,Karapakkam,1412,6/11/2010,2,2,4,Adj Land,No,13-11-1982,House,ELO,Gravel,RL,4.1,2.9,3.1,3.34,251370,192717,13415048.96,1.04,1.601032219,8379000
P09556,Adyar,779,12/10/2006,1,1,2,Normal Sale,No,14-10-1997,House,NoSewer ,No Access,C,3.6,4.4,2.4,3.16,190463,31744,9909260.133,1.04,1.872981246,5290635
P00389,T Nagar,1655,21-05-2014,1,1,4,Ab Normal,No,29-05-1980,Others,AllPub,Gravel,RH,2.1,4.3,3.9,3.46,376468,238430,17174077.21,1.04,1.36856905,12548930
P05245,Karapakkam,940,3/4/2010,1,1,3,Adj Land,No,15-04-1961,House,AllPub,Paved,RH,2.7,2.7,4.1,3.26,263599,64435,9378446.478,1.04,1.601032219,5857750
P01934,Karapakkam,545,12/1/2012,1,1,2,Partial,No,19-01-1982,Others,ELO,No Access,RH,3.1,2.2,3.4,2.95,165738,88651,5705416.566,1.04,1.480244285,3854375
P02088,Karapakkam,1469,12/12/2011,2,2,4,Ab Normal,No,13-12-2006,Commercial,NoSewer ,No Access,C,4.7,2,2.4,2.97,284423,132731,14595179.04,1.04,1.539454056,9480750
P03221,Karapakkam,1691,2/5/2011,2,2,4,Ab Normal,No,9/5/1980,House,NoSewer ,Gravel,RM,4,3.9,3.5,3.77,319558,178576,14468943.81,1.04,1.539454056,9398750
P03273,Karapakkam,1236,21-04-2011,1,1,3,Normal Sale,No,30-04-1972,Commercial,NoSewer ,Paved,I,3.3,3.3,2,2.78,334638,114481,13556817.28,1.04,1.539454056,8806250
P07825,Adyar,1260,21-07-2008,2,2,4,Partial,No,28-07-1983,Others,NoSewer ,No Access,A,3.8,4.1,4.5,4.21,256150,34615,11988352.75,1.04,1.731676448,6922975
P05787,Adyar,1021,22-12-2009,1,1,3,Normal Sale,No,23-12-2004,Commercial,NoSewer ,Paved,I,3.5,4.8,2.5,3.26,361868,175098,19436694.44,1.04,1.665073507,11673175
P05304,Anna Nagar,1589,22-03-2010,1,,4,Partial,No,2/4/1966,Others,AllPub,Gravel,RL,2.1,2.5,4.5,3.16,451857,85486,19552365.81,1.04,1.601032219,12212350
P08933,Adyar,1218,13-06-2007,2,2,4,Normal Sale,No,20-06-1977,Commercial,AllPub,No Access,I,4.7,3.9,3.3,3.84,377246,138323,22646594.44,1.04,1.800943506,12574850
P01725,Karapakkam,1378,19-02-2012,2,2,4,Adj Land,No,21-02-2003,Others,NoSewer ,Gravel,RM,4.2,2.8,2.6,3.14,297525,208268,14680322.7,1.04,1.480244285,9917500
P02686,Anna Nagar,1928,18-08-2011,2,1,5,Partial,No,20-08-2001,House,AllPub,No Access,RH,3.4,4.1,2.4,3.175,466682,105003,17960887.45,1.04,1.539454056,11667050
P07789,Chrompet,1233,2/8/2008,2,1,4,Ab Normal,No,11/8/1975,House,NoSewer ,Gravel,RM,2.2,2,4.6,2.84,245429,107989,17000127.44,1.04,1.731676448,9817150
P02716,Karapakkam,627,12/8/2011,1,1,2,Family,No,19-08-1983,House,NoSewer ,Gravel,RM,4.3,2.8,2.5,3.13,223975,92225,10141153.6,1.04,1.539454056,6587500
P09780,Velachery,1563,16-08-2005,2,1,4,Family,No,23-08-1977,House,NoSewer ,Gravel,RM,4.7,4.5,2.6,3.98,303780,195987,19088178.2,1.04,1.947900496,9799360
P06989,T Nagar,1522,30-03-2009,1,1,4,Partial,No,10/4/1966,Commercial,AllPub,Gravel,RL,4.2,3.6,3.5,3.735,506181,174545,29063042.18,1.04,1.665073507,17454510
P06461,T Nagar,1687,13-08-2009,1,1,4,Ab Normal,No,16-08-1996,Others,NoSewer ,Paved,RH,4.6,4.6,2,3.43,411733,224582,20774739.18,1.04,1.665073507,12476770
P08050,Adyar,1025,10/5/2008,1,1,3,Partial,No,17-05-1983,Commercial,NoSewer ,Paved,I,2.5,2.5,2.7,2.6,349916,142153,18935665.49,1.04,1.731676448,10934875
P08147,KK Nagar,1546,9/4/2008,2,1,4,Ab Normal,No,16-04-1981,Commercial,AllPub,Gravel,RM,2.5,4.3,2.8,3.16,441475,142411,24661046.73,1.04,1.731676448,14241140
P00057,Chrompet,755,9/1/2015,1,1,2,Normal Sale,No,17-01-1982,Commercial,ELO,Gravel,RM,3.8,4.4,2.7,3.71,289649,42911,14116987.14,1.04,1.315931779,10727750
P01632,Adyar,735,6/3/2012,1,1,2,Adj Land,No,10/3/1998,Commercial,NoSewer ,No Access,RH,2.7,4,4,3.61,284361,132702,14030806.31,1.04,1.480244285,9478710
P00407,Chrompet,1293,9/5/2014,2,1,4,Normal Sale,No,19-05-1975,Commercial,ELO,No Access,RL,3.1,2.2,3.8,2.95,419714,157393,17950220.09,1.04,1.36856905,13116050
P06126,KK Nagar,1641,17-10-2009,2,1,4,Partial,No,24-10-1980,Others,AllPub,Gravel,RL,4.6,4.4,3.1,3.94,460580,190239,16671715,1.04,1.665073507,10012600
P02652,Karapakkam,1245,26-08-2011,1,1,3,Partial,No,2/9/1983,Others,NoSewer ,Paved,A,4.1,2.9,3.5,3.5,201653,113123,7571612.344,1.04,1.539454056,4918375
P06329,Chrompet,905,12/9/2009,1,1,3,Family,No,20-09-1976,Others,ELO,Gravel,RH,3.8,3.5,4,3.74,223393,77032,12826394.24,1.04,1.665073507,7703200
P01701,KK Nagar,1496,24-02-2012,2,1,4,Family,No,27-02-1998,House,NoSewer ,Gravel,RH,3.2,3.8,2.8,3.22,265641,137105,12684331.7,1.04,1.480244285,8569080
P04743,Velachery,1517,5/7/2010,2,1,4,Family,No,8/7/1999,Commercial,ELO,Paved,C,4,4.6,2.9,3.94,408507,116716,18686639.66,1.04,1.601032219,11671620
P00899,Chrompet,1092,13-05-2013,1,1,3,Normal Sale,No,14-05-2009,Others,AllPub,No Access,RH,2.4,2.4,2,2.28,246391,57491,11689716.85,1.04,1.423311812,8213040
P00566,Chrompet,821,2/1/2014,1,1,3,Adj Land,No,4/1/2006,House,NoSewer ,Paved,RH,3.4,4.6,2.9,3.73,182600,65736,9996028.344,1.04,1.36856905,7304000
P07878,KK Nagar,1694,7/7/2008,2,1,4,Family,No,10/7/1997,Others,NoSewer ,Gravel,RL,4,2,3.9,3.36,353291,114300,17993676.8,1.04,1.731676448,10390900
P05305,Anna Nagar,1809,22-03-2010,2,1,5,Family,No,28-03-1984,Commercial,AllPub,No Access,RL,3,3.5,2,2.725,518585,230482,30750817.69,1.04,1.601032219,19206870
P03571,Karapakkam,1470,26-02-2011,2,2,4,Ab Normal,No,4/3/1986,Others,NoSewer ,No Access,RH,3.1,3,3.1,3.07,302694,172968,11094845.38,1.04,1.539454056,7207000
P00942,Chrompet,798,15-04-2013,1,1,2,Partial,No,24-04-1976,Commercial,NoSewer ,Paved,RH,2.3,2.6,3.6,2.81,253975,145129,12910220.96,1.04,1.423311812,9070550
P08304,Chrompet,764,21-02-2008,1,1,2,Partial,No,23-02-2000,House,ELO,No Access,RH,3.3,3.2,2.1,2.9,158766,90723,9818951.793,1.04,1.731676448,5670200
P07597,Chrompet,1135,25-09-2008,1,1,3,Ab Normal,No,1/10/1985,Others,NoSewer ,No Access,RM,4.9,2.1,3.8,3.45,296102,148051,16023548.5,1.04,1.731676448,9253200
P06565,Karapakkam,939,23-07-2009,1,1,3,Ab Normal,No,2/8/1971,House,ELO,No Access,I,4.9,3.7,3.3,3.9,214700,38646,7149825.64,1.04,1.665073507,4294000
P04325,Chrompet,884,22-09-2010,1,1,3,Normal Sale,No,23-09-2006,Commercial,NoSewer ,No Access,RM,2.3,3.8,2.4,2.93,283410,45346,18149941.64,1.04,1.601032219,11336400
P05031,Anna Nagar,1640,14-05-2010,1,1,4,Adj Land,No,15-05-2005,Commercial,ELO,No Access,RH,2.5,3.1,3.5,3.05,495645,194718,28340831.92,1.04,1.601032219,17701600
P08918,Adyar,622,20-06-2007,1,1,2,Normal Sale,No,25-06-1987,Others,ELO,No Access,RL,2.7,4.9,3.5,3.54,216906,72302,11837421.57,1.04,1.800943506,6572900
P05350,KK Nagar,2413,13-03-2010,4,2,6,Ab Normal,No,15-03-2001,Others,NoSewer ,Paved,RM,2.5,2.4,2.9,2.63,419905,170587,21008808.81,1.04,1.601032219,13122040
P07092,T Nagar,1649,28-02-2009,1,1,4,Adj Land,No,6/3/1984,Commercial,AllPub,Gravel,RH,2.1,2,4.6,3.2,681808,113635,31534993.66,1.04,1.665073507,18939100
P00089,T Nagar,1942,20-12-2014,2,1,5,Family,No,29-12-1977,House,NoSewer ,Gravel,RH,4.6,3.1,2.9,,320599,61654,16875469.13,1.04,1.36856905,12330740
P00717,Chrompet,885,19-09-2013,1,1,3,Family,No,27-09-1981,House,ELO,No Access,RM,4.6,2.7,2.1,3.09,237422,107919,10240159.17,1.04,1.423311812,7194600
P08625,Adyar,1236,17-10-2007,2,2,4,Family,No,26-10-1970,Commercial,ELO,Gravel,A,3.7,3.5,4.4,4.01,481414,24071,21674994.42,1.04,1.800943506,12035355
P02917,Karapakkam,926,29-06-2011,1,1,3,Family,No,4/7/1991,House,ELO,Gravel,RL,4.3,4.8,2.9,3.89,288834,68770,10586825.55,1.04,1.539454056,6877000
P06881,KK Nagar,1686,30-04-2009,2,1,4,Ab Normal,No,6/5/1985,Others,NoSewer ,Paved,RM,3.2,2.7,3.9,3.33,382817,196582,17227516.54,1.04,1.665073507,10346400
P05823,Karapakkam,1344,16-12-2009,2,2,4,Adj Land,No,29-12-1959,Commercial,NoSewer ,Gravel,RH,4.6,4.2,3.3,3.96,453999,259428,17998612.08,1.04,1.665073507,10809500
P01492,KK Nagar,1437,2/4/2012,2,1,4,Family,No,8/4/1989,Others,AllPub,Gravel,RM,3.8,4.6,2.6,3.56,489629,102006,15099379.85,1.04,1.480244285,10200600
P07481,Adyar,1081,26-10-2008,1,1,3,Family,No,3/11/1978,House,AllPub,No Access,C,3.5,3.1,3.2,3.27,241416,6190,10719336.96,1.04,1.731676448,6190150
P06801,KK Nagar,1986,19-05-2009,3,2,5,Normal Sale,No,27-05-1979,House,AllPub,Gravel,RM,4.9,3.6,4.6,4.39,476717,227008,18899250.34,1.04,1.665073507,11350400
P04399,Karapakkam,607,8/9/2010,1,1,2,Normal Sale,No,19-09-1964,Others,NoSewer ,Gravel,RL,4.2,4.9,2.2,3.61,175699,117133,9376645.317,1.04,1.601032219,5856625
P05417,KK Nagar,1488,28-02-2010,2,1,4,Partial,No,7/3/1983,Others,AllPub,Paved,RH,2.3,5,4.1,3.83,405211,202606,13515753.89,1.04,1.601032219,8441900
P09702,Velachery,1645,27-01-2006,2,1,4,Partial,No,3/2/1980,House,NoSewer ,No Access,RH,3.7,4.5,2.1,3.58,250118,75793,14195924.22,1.04,1.872981246,7579320
P04112,Adyar,721,4/11/2010,1,1,2,Partial,No,6/11/2000,Others,NoSewer ,Paved,RL,3.4,2.8,4.6,3.88,273800,60844,12176730.59,1.04,1.601032219,7605550
P03305,KK Nagar,1593,17-04-2011,2,1,4,Partial,No,21-04-1994,Others,AllPub,Paved,RH,3.2,3.2,4.2,3.6,402606,223670,13773187.55,1.04,1.539454056,8946800
P02126,Chrompet,1195,6/12/2011,1,1,3,Adj Land,No,10/12/1992,Others,NoSewer ,Paved,RL,3,4.7,3.2,3.74,265183,29465,15119901.96,1.04,1.539454056,9821600
P06964,Velachery,1824,3/4/2009,3,2,5,Normal Sale,No,11/4/1976,House,NoSewer ,Paved,I,3.9,2.3,4.1,,273570,76942,14234813.32,1.04,1.665073507,8549060
P04311,Adyar,656,24-09-2010,1,1,2,Ab Normal,No,26-09-2001,Commercial,AllPub,Paved,I,4.5,2.3,2.3,2.96,280244,113849,14021255.79,1.04,1.601032219,8757635
P08974,Chrompet,727,28-05-2007,1,1,2,Ab Normal,No,1/6/1991,Others,ELO,Gravel,RM,3.1,4.3,2.5,3.4,218816,100992,15156722.53,1.04,1.800943506,8415990
P08903,Anna Nagar,1698,27-06-2007,1,1,4,Family,No,7/7/1967,House,NoSewer ,Gravel,RM,5,4.9,3.1,4.215,359949,198593,22353400.84,1.04,1.800943506,12412050
P08737,Anna Nagar,1506,6/9/2007,1,1,4,Family,No,14-09-1974,House,ELO,No Access,RM,3.9,3.4,2.1,3.055,417996,177648,18819697.55,1.04,1.800943506,10449910
P00163,Chrompet,1020,1/11/2014,1,1,3,Family,No,7/11/1990,House,NoSewer ,No Access,RM,4.2,2.4,4.1,3.45,206664,31794,10878207.95,1.04,1.36856905,7948600
P07499,Chrompet,889,21-10-2008,1,1,3,Ab Normal,No,27-10-1987,Others,ELO,Gravel,RM,5,2.4,2,3.06,300256,136480,15755969.86,1.04,1.731676448,9098680
P03550,T Nagar,1682,4/3/2011,1,1,4,Ab Normal,No,12/3/1976,Commercial,AllPub,Gravel,RH,3.7,3,3.5,3.435,690507,111974,28729830.41,1.04,1.539454056,18662350
P00920,Chrompet,869,1/5/2013,1,1,3,Family,No,6/5/1995,Others,NoSewer ,No Access,RM,4.3,4.8,3.3,4.2,220661,138935,11632200.82,1.04,1.423311812,8172630
P01500,Karapakkam,1445,29-03-2012,2,2,4,Family,No,4/4/1988,House,NoSewer ,No Access,I,4.9,2.9,2.5,3.34,216691,87848,8669050.655,1.04,1.480244285,5856500
P04417,Karapakkam,857,5/9/2010,1,1,2,Normal Sale,No,9/9/1993,House,ELO,Paved,I,3.6,2.4,3.4,3.16,236556,59139,7890287.031,1.04,1.601032219,4928250
P02863,KK Nagar,1778,10/7/2011,3,2,5,Family,No,12/7/2003,Others,NoSewer ,Gravel,RL,3.1,3.9,4.4,3.86,340948,153976,16931408.34,1.04,1.539454056,10998320
P03006,Karapakkam,851,15-06-2011,1,1,2,Adj Land,No,25-06-1970,Others,ELO,Paved,A,3.8,4.8,2.6,3.62,181073,39364,6059868.461,1.04,1.539454056,3936375
P04928,Karapakkam,613,1/6/2010,1,1,2,Family,No,8/6/1980,Commercial,NoSewer ,No Access,I,4.6,4.3,2.3,3.59,195491,66879,8236510.248,1.04,1.601032219,5144500
P08752,Adyar,738,2/9/2007,1,1,2,Partial,No,6/9/1989,Commercial,NoSewer ,No Access,I,2.4,4.7,5,,324194,8313,14970649.05,1.04,1.800943506,8312670
P03833,Karapakkam,1489,3/1/2011,2,2,4,Adj Land,No,10/1/1982,House,ELO,Gravel,RH,4.4,3.2,4,3.88,384348,200181,12326793.49,1.04,1.539454056,8007250
P02399,Chrompet,1252,12/10/2011,2,1,4,Family,No,15-10-1999,House,AllPub,No Access,RM,3.6,4.9,4.6,4.42,265502,47411,14597411.25,1.04,1.539454056,9482200
P03260,Karapakkam,1077,24-04-2011,1,1,3,Ab Normal,No,2/5/1978,Commercial,ELO,Paved,RM,3.3,4.9,4.2,4.14,305249,246169,15158619.23,1.04,1.539454056,9846750
P08138,KK Nagar,1524,11/4/2008,2,1,4,Normal Sale,No,18-04-1981,Others,NoSewer ,Paved,RH,3.6,2.7,2.8,3.01,303654,208220,15023713.16,1.04,1.731676448,8675820
P08181,Velachery,1780,29-03-2008,2,1,4,Ab Normal,No,12/4/1953,Others,AllPub,Gravel,C,4.7,2,2.9,2.95,329500,130066,15015453.06,1.04,1.731676448,8671050
P07510,Chrompet,946,18-10-2008,1,1,3,Adj Land,No,23-10-1991,Commercial,ELO,No Access,RL,3.8,3.1,4.5,3.73,368463,111656,19335119.96,1.04,1.731676448,11165550
P04010,KK Nagar,2344,25-11-2010,4,2,6,Ab Normal,No,1/12/1986,Commercial,NoSewer ,Gravel,RM,4.9,3.2,4.4,4.19,622046,471247,30179265.2,1.04,1.601032219,18849880
P06517,Anna Nagar,1843,2/8/2009,2,1,5,Adj Land,No,6/8/1994,House,ELO,No Access,RL,3.9,3.4,3.3,3.535,318884,147177,20421710.3,1.04,1.665073507,12264750
P03326,KK Nagar,1499,13-04-2011,2,1,4,Family,No,14-04-2005,House,AllPub,Gravel,RH,2.5,3,4.6,3.49,372805,186403,13664686.83,1.04,1.539454056,8876320
P05849,Velachery,1846,11/12/2009,3,2,5,Ab Normal,No,21-12-1970,House,AllPub,Gravel,RM,3.6,3.9,2,3.26,378554,129790,18009151.99,1.04,1.665073507,10815830
P03347,Karapakkam,662,10/4/2011,1,1,2,Partial,No,19-04-1973,Commercial,NoSewer ,No Access,C,4.7,3.3,2.5,3.4,143765,65348,6706631.596,1.04,1.539454056,4356500
P05714,Chrompet,1005,6/1/2010,1,1,3,Family,No,13-01-1984,Commercial,NoSewer ,Gravel,RL,2.2,2.8,4.9,3.25,355456,183857,19624012.01,1.04,1.601032219,12257100
P04299,Karapakkam,839,27-09-2010,1,1,2,Partial,No,2/10/1990,House,NoSewer ,Paved,C,4.6,4.6,2.3,3.68,192724,49206,6565032.612,1.04,1.601032219,4100500
P07890,Anna Nagar,1698,2/7/2008,1,1,4,Partial,No,11/7/1974,House,AllPub,No Access,RM,4.7,4.4,4.3,4.465,403460,80692,19961779.03,1.04,1.731676448,11527430
P06089,Karapakkam,1004,25-10-2009,1,1,3,Adj Land,No,1/11/1981,Others,ELO,No Access,C,4.9,3.3,3.1,3.7,193582,75544,7861644.565,1.04,1.665073507,4721500
P05826,Anna Nagar,1694,16-12-2009,1,1,4,Normal Sale,No,23-12-1982,Others,NoSewer ,Paved,RL,2.6,2.5,2.4,2.495,377250,213775,20938316.01,1.04,1.665073507,12575010
P05451,Karapakkam,588,21-02-2010,1,1,2,Partial,No,27-02-1986,Others,AllPub,Paved,RL,4.9,4.2,3.5,4.13,228220,57055,9134689.323,1.04,1.601032219,5705500
P08753,Velachery,1835,1/9/2007,3,2,5,Normal Sale,No,8/9/1978,Others,AllPub,Paved,RL,4.7,2.6,2.1,2.98,418181,182284,19310760.81,1.04,1.800943506,10722580
P09839,Velachery,1864,16-03-2005,3,2,5,Partial,No,22-03-1982,Commercial,ELO,Gravel,RH,3.2,4.6,2.8,3.71,528520,181207,29414388.31,1.04,1.947900496,15100560
P05279,Karapakkam,624,25-03-2010,1,1,2,Family,No,2/4/1979,Commercial,ELO,No Access,C,4.4,3.4,3,3.54,202228,92321,7038537.891,1.04,1.601032219,4396250
P08056,Chrompet,980,8/5/2008,1,1,3,Normal Sale,No,13-05-1991,Commercial,NoSewer ,Paved,RL,3,3.8,4.6,3.8,380824,130908,20608248.48,1.04,1.731676448,11900750
P05622,Karapakkam,808,23-01-2010,1,1,2,Adj Land,No,1/2/1975,House,NoSewer ,Gravel,C,3.1,2.4,3,2.85,161577,90293,7608505.361,1.04,1.601032219,4752250
P03766,Chrompet,1027,14-01-2011,1,1,3,Normal Sale,No,19-01-1990,House,ELO,Paved,RH,2.8,3.7,3.3,3.31,215799,44648,11455616.44,1.04,1.539454056,7441350
P05493,Karapakkam,696,14-02-2010,1,1,2,Normal Sale,No,17-02-1999,House,NoSewer ,Gravel,RL,3.5,2.1,3.6,3.12,212561,77295,10312648.78,1.04,1.601032219,6441250
P03329,Velachery,1878,12/4/2011,3,2,5,Family,No,13-04-2005,Commercial,AllPub,Paved,C,5,2.6,4.8,3.86,573149,257917,22058406.13,1.04,1.539454056,14328720
P01651,KK Nagar,1626,3/3/2012,2,1,4,Ab Normal,No,9/3/1988,House,AllPub,Paved,RM,2.9,3.6,2.7,3.03,348490,135524,14329179.15,1.04,1.480244285,9680280
P07585,KK Nagar,1730,27-09-2008,2,1,4,Normal Sale,No,2/10/1990,Commercial,NoSewer ,Gravel,RL,2.1,3.5,3.5,3.08,589574,235830,25523802.56,1.04,1.731676448,14739360
P09195,Chrompet,996,3/3/2007,1,1,3,Family,No,8/3/1985,Others,ELO,Gravel,RL,4.1,4.9,2.6,3.97,295007,151974,16099750.58,1.04,1.800943506,8939620
P00927,Chrompet,906,29-04-2013,1,1,3,Normal Sale,No,7/5/1981,Commercial,NoSewer ,Paved,RH,3.2,2.3,2.9,2.75,327251,30680,14555640.58,1.04,1.423311812,10226600
P01999,Anna Nagar,1976,31-12-2011,2,1,5,Partial,No,10/1/1972,House,NoSewer ,Paved,RL,5,2.9,2.2,3.355,369002,110700,18935361.87,1.04,1.539454056,12300050
P03800,Karapakkam,1402,8/1/2011,2,2,4,Normal Sale,No,15-01-1981,House,NoSewer ,Gravel,I,3.7,3.6,5,4.19,257761,111464,10724606.68,1.04,1.539454056,6966500
P01737,T Nagar,1887,17-02-2012,2,1,5,Adj Land,No,22-02-1992,Commercial,NoSewer ,No Access,RL,2.3,2.4,3.3,2.775,573985,348491,30344193.71,1.04,1.480244285,20499450
P00699,Chrompet,1276,10/10/2013,2,1,4,Normal Sale,No,19-10-1977,Others,NoSewer ,Paved,RL,3.8,2.3,3.8,3.2,316936,163270,13669657.44,1.04,1.423311812,9604120
P04590,Adyar,1249,4/8/2010,2,2,4,Adj Land,No,9/8/1991,Commercial,NoSewer ,Paved,A,3.9,2.2,4.8,,417195,176992,20240705.6,1.04,1.601032219,12642285
P08794,Chrompet,1286,16-08-2007,2,1,4,Ab Normal,No,24-08-1973,House,AllPub,No Access,RM,2.2,2.2,4.9,3.01,292906,118993,16484576.19,1.04,1.800943506,9153300
P02451,KK Nagar,2467,2/10/2011,4,2,6,Adj Land,No,6/10/1995,House,AllPub,Gravel,RL,3,3.6,2.4,2.94,581942,139160,19475510.11,1.04,1.539454056,12650920
P04850,Karapakkam,653,18-06-2010,1,1,2,Adj Land,No,22-06-1995,Commercial,ELO,No Access,RM,2.5,3.1,5,3.68,297775,160340,12224281.25,1.04,1.601032219,7635250
P00330,Chrompet,1057,30-06-2014,1,1,3,Normal Sale,No,4/7/1997,Others,AllPub,Paved,RL,4.3,3.2,2.6,3.35,228621,27435,12515344.99,1.04,1.36856905,9144840
P09285,Adyar,723,31-01-2007,1,1,2,Family,No,7/2/1979,Commercial,ELO,Gravel,RM,3.6,3.7,3.7,3.67,329098,142609,19756206.18,1.04,1.800943506,10969920
P05669,T Nagar,1812,15-01-2010,2,1,5,Family,No,26-01-1966,Others,ELO,No Access,RL,2.8,2.6,4.2,3.38,440951,232724,19610467.27,1.04,1.601032219,12248640
P09906,Velachery,1615,3/11/2004,2,1,4,Ab Normal,No,8/11/1985,House,ELO,Paved,I,4.5,4.5,4.8,4.59,288694,128308,16245589.87,1.04,2.025816515,8019280
